Server,LocalGroup,Domain,DomainGroup
ADMPCG007M,Administrators,CORP,AD CSC Server Admins
ADMPCG018M,Administrators,CORP,AD CSC Server Admins
ADMPCG020M,Administrators,CORP,AD CSC Server Admins
admpcg027m,Administrators,CORP,AD CSC Server Admins
ADMPCG037M,Administrators,CORP,AD CSC Server Admins
ADMPCG039M,Administrators,CORP,AD CSC Server Admins
ADMPTN019M,Administrators,CORP,AD CSC Server Admins
ADMPCG017M,Administrators,CORP,AD CSC Server Admins
ADMPFR007M,Administrators,CORP,AD CSC Server Admins
ADMPHR031M,Administrators,CORP,AD CSC Server Admins
ADMPHR126M,Administrators,CORP,AD CSC Server Admins
ADMPHR127M,Administrators,CORP,AD CSC Server Admins
admphr129m,Administrators,CORP,AD CSC Server Admins
ADMPHR142M,Administrators,CORP,AD CSC Server Admins
ADMPHR143M,Administrators,CORP,AD CSC Server Admins
ADMPHR147M,Administrators,CORP,AD CSC Server Admins
ADMPIM013M,Administrators,CORP,AD CSC Server Admins
ADMPIM014M,Administrators,CORP,AD CSC Server Admins
ADMPIM120M,Administrators,CORP,AD CSC Server Admins
admpip001m,Administrators,CORP,AD CSC Server Admins
ADMPLS015M,Administrators,CORP,AD CSC Server Admins
ADMPLS024M,Administrators,CORP,AD CSC Server Admins
ADMPLS025M,Administrators,CORP,AD CSC Server Admins
ADMPLS026M,Administrators,CORP,AD CSC Server Admins
ADMPLS027M,Administrators,CORP,AD CSC Server Admins
ADMPLS192M,Administrators,CORP,AD CSC Server Admins
ADMPLS200M,Administrators,CORP,AD CSC Server Admins
ADMPLS265M,Administrators,CORP,AD CSC Server Admins
ADMPLS302M,Administrators,CORP,AD CSC Server Admins
ADMPLS306M,Administrators,CORP,AD CSC Server Admins
ADMPLS36M,Administrators,CORP,AD CSC Server Admins
ADMPLSCONM,Administrators,CORP,AD CSC Server Admins
ADMPLSPS001M,Administrators,CORP,AD CSC Server Admins
ADMPLW501M,Administrators,CORP,AD CSC Server Admins
ADMPTE251M,Administrators,CORP,AD CSC Server Admins
ADMPTE252M,Administrators,CORP,AD CSC Server Admins
