User,UserDom,Group,GroupDom,Modify
jsilfies,NA,CPLITI01M_Secure_Lititz_Dist Ctr_Samples_Labels_Read,NA,Add
crowewh3 ,NA,CPLITI01M_Secure_Lititz_Dist Ctr_Samples_Labels_Read,NA,Add
jschmid,NA,CPLITI01M_CLEAN SWEEP_JEFF GRUNDHOFFER,NA,Add
jschmid,NA,CPLITI01M_LITITZ_ENGINEERING_DEPARTMENT_DEFAULTS,NA,Add
jschmid,NA,CPLITI01M_PROGRAM FILES_LITITZ_MP2_CHANGE,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_DIST CTR_ADMINISTRATION_RAW MAT_READ,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_DIST CTR_MICRO LAB_MICRO RESULTS_READ,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_PARK OFFICE_ACCOUNTING_MSMONEY TRNG_CHG,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_PARK OFFICE_ACCTG_BUDGETS_CHANGE,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_PARK OFFICE_ACCTG_BUDGETS_FY02_CHANGE,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_PARK OFFICE_ACCTG_BUDGETS_FY03_CHANGE,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_PARK OFFICE_ACCTG_BUDGETS_FY04_CHANGE,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_PARK OFFICE_ACCTG_BUDGETS_FY05_CHANGE,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_PARK OFFICE_ACCTG_BUDGETS_FY06_CHANGE,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_PARK OFFICE_ACCTG_BUDGETS_FY07_CHANGE,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_PARK OFFICE_ACCTG_BUDGETS_FY08_CHANGE,NA,Add
jschmid,NA,CPLITI01M_SECURE_LITITZ_PARK OFFICE_ACCTG_REPORTS_WKLY INVY_READ,NA,Add
