Farm,Silo,Domain,AppName,AppLocaton,GroupName
CPS_Farm,BAS-CAP_APPS,MEAT,Beef Hours and Maintenance,D:\apps\ExcelApps\labor analysis\Labor.NET\LA.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Beef Labor Reporting,d:\apps\ExcelApps\labor analysis\New Labor\beef_labor.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Beef Labor Reporting - Guelph,d:\apps\ExcelApps\labor analysis\New Labor\labr_1_guelph.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,BPF-Friona RF,D:\apps\excelapps\RetroTech\frio\frionaRetroRF.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,BPF-Plainview RF,D:\apps\excelapps\RetroTech\pvew\pvewRetroRF.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Breeders - old,"cscript.exe d:\apps\util\scripts\Breeders.vbs Breeders ""d:\apps\excelapps\breeders\breeders.exe""",
CPS_Farm,BAS-CAP_APPS,MEAT,Case Ready Shared Files,C:\Program Files\Internet Explorer\IEXPLORE.EXE \\xlwichf01\shared\Case Ready,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-13001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-2001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-2002,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-26001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-3001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-31001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-4001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-4002,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-67001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-67002,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-67003,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-67004,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-67005,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-67006,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-77001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-78001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-78002,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-78003,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-78004,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-78005,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-83001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-86001,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-86002,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-86003,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-DASHBOARD,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-HAT,,
CPS_Farm,BAS-CAP_APPS,MEAT,CAT2-SECURITY,,
CPS_Farm,BAS-CAP_APPS,MEAT,Cattle Deliveries,d:\apps\ExcelApps\CTL_DEL\CTL_DEL.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Cattle Purchasing,N/A,
CPS_Farm,BAS-CAP_APPS,MEAT,CloseOut,N/A,
CPS_Farm,BAS-CAP_APPS,MEAT,CTLog,N/A,
CPS_Farm,BAS-CAP_APPS,MEAT,Ecom Corporate,D:\apps\excelapps\ECOM\ECOM PB11\a_ecom.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Ecom Plant,D:\apps\excelapps\ECOM\EcomLite PB11\a_ecomlite.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,Feed Chek 2000,D:\apps\Feed Chek 2000\Feed Chek 2000.exe,
CPS_Farm,BAS-CAP_APPS,MEAT,FeedOrder,"cscript.exe d:\apps\util\scripts\Feedorder.vbs Feedorder ""D:\apps\ExcelApps\feedorder\feedorder.exe""",
CPS_Farm,BAS-CAP_APPS,MEAT,GainSeeker-Administration,D:\apps\gainseek\Version7,
CPS_Farm,BAS-CAP_APPS,MEAT,GainSeeker-DMS Charts and Reports,D:\apps\gainseek\Version7,
CPS_Farm,BAS-CAP_APPS,MEAT,GainSeeker-DMS Data Entry,D:\apps\gainseek\Version7,
CPS_Farm,BAS-CAP_APPS,MEAT,GainSeeker-Enterprise Dashboard,D:\apps\gainseek\Version7,
CPS_Farm,BAS-CAP_APPS,MEAT,GainSeeker-Import Export Manager,D:\apps\gainseek\Version7,
CPS_Farm,BAS-CAP_APPS,MEAT,GainSeeker-Launch Pad,D:\apps\gainseek\Version7,
